"Model","Mean_AUC_ratio","pval_pROC","Omission_rate_at_5%","AICc","delta_AICc","W_AICc","num_parameters"
"M_0.1_F_l_Set_1",1.35958629692764,0,0.09375,1195.82568683897,86.3938167136614,5.98994821026712e-21,6
"M_0.1_F_l_Set_2",1.32364876795063,0,0.03125,1199.96972254397,90.537852418659,7.81262743308452e-22,2
"M_0.1_F_lq_Set_1",1.5745715085873,0,0.03125,1119.02158416577,9.5897140404627,0.00030628325433878,11
"M_0.1_F_lq_Set_2",1.58543661088704,0,0.03125,1109.43187012531,0,0.0370256932128023,4
"M_0.1_F_lqp_Set_1",1.53272279690256,0,0.15625,1139.16897834979,29.7371082244783,1.34139748537344e-08,17
"M_0.1_F_lqp_Set_2",1.59108796646717,0,0.03125,1111.83618037814,2.40431025282533,0.0118751415160056,5
"M_0.5_F_l_Set_1",1.35101206773194,0,0.0625,1195.91584727011,86.4839771447989,6.83091888908931e-21,6
"M_0.5_F_l_Set_2",1.32547947854262,0,0.03125,1199.9862440475,90.554373922188,9.30780529060401e-22,2
"M_0.5_F_lq_Set_1",1.56011526361028,0,0.0625,1116.39192935175,6.96005922644099,0.00137900698764056,7
"M_0.5_F_lq_Set_2",1.59164970091654,0,0.03125,1116.3396621503,6.90779202498857,0.00147966075943821,4
"M_0.5_F_lqp_Set_1",1.5424578514173,0,0.125,1122.1463834083,12.7145132829885,8.51184952397928e-05,9
"M_0.5_F_lqp_Set_2",1.57569857402616,0,0.03125,1118.40137228989,8.96950216458163,0.000581899665009389,4
"M_1_F_l_Set_1",1.34196004896805,0,0.03125,1196.2108991896,86.7790290642845,7.79340225884529e-21,6
"M_1_F_l_Set_2",1.31717785672765,0,0.03125,1200.02534737832,90.5934772530125,1.22382729971874e-21,2
"M_1_F_lq_Set_1",1.54453944658439,0,0.0625,1128.28475099592,18.8528808706137,4.91722347325466e-06,7
"M_1_F_lq_Set_2",1.58262254222736,0,0.03125,1128.02089744867,18.5890273233631,5.97533833237297e-06,4
"M_1_F_lqp_Set_1",1.48657789348042,0,0.125,1128.97123221737,19.5393620920638,3.97362563157341e-06,7
"M_1_F_lqp_Set_2",1.55412708419396,0,0.03125,1127.84191987507,18.4100497497595,7.51109726005249e-06,3
"M_1.5_F_l_Set_1",1.33753912822205,0,0.03125,1196.74390160291,87.3120314776006,8.86240501204171e-21,6
"M_1.5_F_l_Set_2",1.3290460461585,0,0.03125,1200.08369660018,90.6518264748686,1.81504986147248e-21,2
"M_1.5_F_lq_Set_1",1.52447928409034,0,0.0625,1140.74857905818,31.3167089328729,1.52501338559264e-08,7
"M_1.5_F_lq_Set_2",1.54377537139046,0,0.03125,1137.10497274767,27.6731026223554,1.04339010429562e-07,3
"M_1.5_F_lqp_Set_1",1.45155243085884,0,0.15625,1135.54619736569,26.1143272403842,2.54603187967532e-07,6
"M_1.5_F_lqp_Set_2",1.50277753968307,0,0.03125,1139.75160461715,30.3197344918374,3.53042226252114e-08,3
"M_2_F_l_Set_1",1.34278354636923,0,0.03125,1197.58905684268,88.1571867173702,1.12661832551625e-20,6
"M_2_F_l_Set_2",1.33875467290865,0,0.03125,1200.16034838249,90.7284782571817,3.69324622958798e-21,2
"M_2_F_lq_Set_1",1.48906061672583,0,0.0625,1153.435195669,44.0033255436888,6.35140527521963e-11,7
"M_2_F_lq_Set_2",1.48706668302523,0,0.03125,1148.32134464132,38.8894745160098,1.06108763835223e-09,3
"M_2_F_lqp_Set_1",1.44703892349588,0,0.125,1145.39209713787,35.9602270125567,6.51510424452905e-09,6
"M_2_F_lqp_Set_2",1.43662797044438,0,0.03125,1152.03518705324,42.6033169279247,4.05027627920532e-10,3
