Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio12_unc contribution,bio1_unc contribution,bio12_unc permutation importance,bio1_unc permutation importance,Training gain without bio12_unc,Training gain without bio1_unc,Training gain with only bio12_unc,Training gain with only bio1_unc,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Logistic threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Logistic threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
sp1_0,64,1.1720,1.2396,300,0.8889,10032,68.3372,31.6628,66.4432,33.5568,0.3411,0.8642,0.8642,0.3411,8.0388,0.1500,1.0000,0.0304,0.4544,0.0000,5.0000,0.1493,0.3002,0.0156,10.0000,0.2723,0.2422,0.0469,4.5457,0.1351,0.3088,0.0000,13.3062,0.3358,0.2189,0.0938,18.2642,0.3947,0.1924,0.1875,10.4496,0.2824,0.2385,0.0469,3.6206,0.1096,0.3293,0.0000,4.5457,0.1351,0.3088,0.0000
sp1_1,64,1.2337,1.3052,320,0.8989,10024,68.1149,31.8851,65.6564,34.3436,0.3601,0.8662,0.8662,0.3601,7.9765,0.1409,1.0000,0.0370,0.4432,0.0000,5.0000,0.1367,0.2947,0.0156,10.0000,0.2496,0.2319,0.0938,4.0700,0.1115,0.3137,0.0000,10.5709,0.2596,0.2272,0.0938,19.8538,0.3917,0.1721,0.1719,9.8371,0.2472,0.2333,0.0469,3.7913,0.1034,0.3205,0.0000,5.2447,0.1424,0.2904,0.0156
sp1_2,64,0.9673,1.0207,320,0.8611,10034,61.1305,38.8695,60.0306,39.9694,0.3484,0.5953,0.5953,0.3484,8.2472,0.1859,1.0000,0.0591,0.5207,0.0000,5.0000,0.1522,0.3954,0.0312,10.0000,0.2390,0.3148,0.0469,3.9735,0.1413,0.4182,0.0000,16.2141,0.3336,0.2557,0.0938,22.8082,0.4108,0.2138,0.2188,16.2141,0.3336,0.2557,0.0938,3.4521,0.1318,0.4306,0.0000,5.7424,0.1634,0.3803,0.0312
sp1_3,64,1.0329,1.0886,320,0.8724,10029,63.4444,36.5556,62.8487,37.1513,0.3512,0.6968,0.6968,0.3512,8.1815,0.1735,1.0000,0.0463,0.5113,0.0000,5.0000,0.1404,0.3621,0.0000,10.0000,0.2445,0.2856,0.0469,5.8249,0.1595,0.3454,0.0000,14.9042,0.3387,0.2432,0.0938,20.1317,0.4012,0.2117,0.2188,13.8459,0.3208,0.2508,0.0469,4.3886,0.1245,0.3764,0.0000,5.2710,0.1476,0.3564,0.0000
sp1_4,64,1.1237,1.1884,300,0.8860,10025,67.7995,32.2005,65.7580,34.2420,0.3346,0.7437,0.7437,0.3346,8.0974,0.1594,1.0000,0.0447,0.4848,0.0000,5.0000,0.1281,0.3433,0.0625,10.0000,0.2333,0.2680,0.0781,1.4399,0.0587,0.4583,0.0000,13.5998,0.2923,0.2346,0.0938,21.9140,0.4035,0.1838,0.1875,13.3635,0.2878,0.2365,0.0781,1.4399,0.0587,0.4583,0.0000,5.7577,0.1462,0.3277,0.0625
sp1_5,64,1.1340,1.2145,380,0.8887,10030,66.1967,33.8033,59.8598,40.1402,0.3809,0.7160,0.7160,0.3809,8.0804,0.1570,1.0000,0.0527,0.4607,0.0000,5.0000,0.1382,0.3369,0.0156,10.0000,0.2396,0.2667,0.0469,3.4161,0.1078,0.3738,0.0000,16.2749,0.3287,0.2154,0.0938,18.3012,0.3565,0.2029,0.2031,15.4776,0.3181,0.2207,0.0469,3.4161,0.1078,0.3738,0.0000,5.7909,0.1543,0.3220,0.0156
sp1_6,64,1.0773,1.1272,280,0.8779,10023,57.7945,42.2055,59.8996,40.1004,0.4349,0.7114,0.7114,0.4349,8.1354,0.1660,1.0000,0.0437,0.4949,0.0000,5.0000,0.1409,0.3510,0.0156,10.0000,0.2498,0.2791,0.0938,3.5262,0.1068,0.3869,0.0000,10.3219,0.2548,0.2759,0.0938,17.9227,0.3626,0.2188,0.2188,9.7265,0.2437,0.2819,0.0312,3.5262,0.1068,0.3869,0.0000,5.5271,0.1525,0.3405,0.0156
sp1_7,64,1.0328,1.0841,300,0.8737,10030,58.6321,41.3679,59.7154,40.2846,0.4051,0.6638,0.6638,0.4051,8.1812,0.1738,1.0000,0.0482,0.5030,0.0000,5.0000,0.1454,0.3678,0.0156,10.0000,0.2430,0.2922,0.0938,4.6068,0.1376,0.3764,0.0000,10.3154,0.2482,0.2888,0.0938,19.4779,0.3799,0.2187,0.2188,8.9081,0.2225,0.3050,0.0156,3.9644,0.1247,0.3915,0.0000,5.5843,0.1580,0.3562,0.0156
sp1_8,64,1.1062,1.1642,340,0.8843,10027,60.1050,39.8950,59.9523,40.0477,0.4101,0.6924,0.6924,0.4101,8.1080,0.1616,1.0000,0.0488,0.4738,0.0000,5.0000,0.1446,0.3483,0.0312,10.0000,0.2352,0.2758,0.0781,4.3453,0.1319,0.3619,0.0000,11.6263,0.2620,0.2596,0.0938,20.0635,0.3752,0.2001,0.1875,10.9397,0.2523,0.2661,0.0781,3.6761,0.1169,0.3775,0.0000,5.9412,0.1597,0.3311,0.0469
sp1_9,64,1.2664,1.3410,300,0.9039,10021,66.9278,33.0722,64.3968,35.6032,0.3868,0.8784,0.8784,0.3868,7.9444,0.1366,1.0000,0.0388,0.4253,0.0000,5.0000,0.1369,0.2861,0.0156,10.0000,0.2507,0.2261,0.0625,3.5176,0.0994,0.3175,0.0000,11.3093,0.2738,0.2158,0.0938,14.8300,0.3309,0.1931,0.1875,9.4519,0.2401,0.2308,0.0312,3.5176,0.0994,0.3175,0.0000,5.2812,0.1438,0.2813,0.0312
sp1 (average),64.0000,1.1146,1.1773,316.0000,0.8836,10027.5000,63.8483,36.1517,62.4561,37.5439,0.3753,0.7428,0.7428,0.3753,8.0991,0.1605,1.0000,0.0450,0.4772,0.0000,5.0000,0.1413,0.3386,0.0219,10.0000,0.2457,0.2682,0.0688,3.9266,0.1190,0.3661,0.0000,12.8443,0.2928,0.2435,0.0938,19.3567,0.3807,0.2007,0.2000,11.8214,0.2748,0.2519,0.0516,3.4793,0.1084,0.3762,0.0000,5.4686,0.1503,0.3295,0.0234
