"settings","features","rm","train.AUC","avg.test.AUC","var.test.AUC","avg.diff.AUC","var.diff.AUC","avg.test.orMTP","var.test.orMTP","avg.test.or10pct","var.test.or10pct","AICc","delta.AICc","w.AIC","parameters","AUC_bin.1","AUC_bin.2","diff.AUC_bin.1","diff.AUC_bin.2","test.or10pct_bin.1","test.or10pct_bin.2","test.orMTP_bin.1","test.orMTP_bin.2"
"L_0.1","L",0.1,0.83521015625,0.82297421875,0.00033138220275879,0.02330078125,0.000542926406860352,0.046875,0.00439453125,0.140625,0.01220703125,1198.21156053968,78.5197398413643,8.7273064560169e-18,6,0.841178125,0.8047703125,0,0.0466015625,0.0625,0.21875,0,0.09375
"LQ_0.1","LQ",0.1,0.91414609375,0.89643828125,1.15016363525391e-05,0.02305,0.000150024221191406,0.078125,0.01220703125,0.203125,0.01220703125,1119.69182069831,0,0.979997782772873,11,0.893046875,0.8998296875,0.0352984374999999,0.0108015625,0.28125,0.125,0.15625,0
"LQP_0.1","LQP",0.1,0.91606328125,0.88991328125,4.0930005493164e-05,0.0329671875,0.0002175625,0.109375,0.02392578125,0.21875,0.001953125,1129.46175677397,9.76993607565419,0.00740816130365498,15,0.883515625,0.8963109375,0.0477171875,0.0182171875,0.25,0.1875,0.21875,0
"L_0.5","L",0.5,0.83474921875,0.82079296875,0.000368910049438477,0.02402890625,0.000577388335571291,0.046875,0.00439453125,0.15625,0.017578125,1198.35202216451,78.6602014662035,8.13540863394317e-18,6,0.84,0.8015859375,0,0.0480578125000001,0.0625,0.25,0,0.09375
"LQ_0.5","LQ",0.5,0.90932421875,0.88876953125,7.57851861572266e-05,0.024390625,1.95529785156271e-07,0.03125,0.001953125,0.234375,0.00048828125,1128.93837768625,9.24655698793845,0.00962411391557168,8,0.897475,0.8800640625,0.0248328125,0.0239484375,0.21875,0.25,0.0625,0
"LQP_0.5","LQP",0.5,0.90747421875,0.88391796875,3.27666564941396e-06,0.0303265625,0.000120450625000001,0.09375,0.0078125,0.1875,0.001953125,1131.29782386287,11.6060031645538,0.00295810460447911,9,0.885728125,0.8821078125,0.0413015625000001,0.0193515624999999,0.21875,0.15625,0.15625,0.03125
"L_1","L",1,0.83380234375,0.81753984375,0.000396912232055664,0.02446953125,0.000598757959594727,0.046875,0.00439453125,0.15625,0.017578125,1198.69247702225,79.0006563239435,6.86199723933602e-18,6,0.8374625,0.7976171875,0,0.0489390625,0.0625,0.25,0,0.09375
"LQ_1","LQ",1,0.88948828125,0.87168828125,0.000446100601196288,0.0262375,0.000174198752441406,0.046875,0.00439453125,0.203125,0.00439453125,1152.13063089803,32.4388101997197,8.85578284370743e-08,7,0.892809375,0.8505671875,0.0130390625,0.0394359375,0.15625,0.25,0,0.09375
"LQP_1","LQP",1,0.89810390625,0.86968828125,0.000183750733032227,0.0335046875,1.09726562499996e-05,0.09375,0.001953125,0.1875,0.001953125,1142.35492192088,22.6631012225714,1.17488454581527e-05,7,0.88324375,0.8561328125,0.0368171875,0.0301921875000001,0.21875,0.15625,0.0625,0.125
"L_2","L",2,0.83066328125,0.80895390625,0.000354939712524413,0.02556796875,0.000653721026000977,0.046875,0.00439453125,0.140625,0.02392578125,1200.05450216372,80.3626814654044,3.47288607924416e-18,6,0.82779375,0.7901140625,0,0.0511359375,0.03125,0.25,0,0.09375
"LQ_2","LQ",2,0.84701171875,0.82946796875,0.000507551616821288,0.02558671875,0.0006546801763916,0.046875,0.00439453125,0.15625,0.017578125,1189.20811998905,69.5162992907351,7.86959714745961e-16,7,0.851996875,0.8069390625,0,0.0511734374999999,0.0625,0.25,0,0.09375
"LQP_2","LQP",2,0.86757421875,0.83385390625,0.000569978320922849,0.0244265625,0.000297131406249999,0.046875,0.00439453125,0.265625,0.00439453125,1178.93940972702,59.2475890287103,1.33590200753468e-13,9,0.857728125,0.8099796875,0.00718906250000007,0.0416640625,0.21875,0.3125,0,0.09375
